ano,sigla_uf,id_municipio,nome,rede,ensino,anos_escolares,taxa_aprovacao,indicador_rendimento,nota_saeb_matematica,nota_saeb_lingua_portuguesa,nota_saeb_media_padronizada,ideb,projecao
2017,PB,2513703,Santa Rita,estadual,medio,todos (1-4),68.6,0.662839,226.97,230.78,3.332376,2.2,
2017,PB,2514800,São José dos Cordeiros,publica,medio,todos (1-4),69.1,0.52806598,245.47,243.44,3.7815881,2.0,
2017,PB,2501708,Barra de São Miguel,estadual,medio,todos (1-4),85.6,0.82405001,231.58,229.86,3.3833499,2.8,
2017,PB,2510006,Nazarezinho,estadual,medio,todos (1-4),71.0,0.74059802,251.83,241.49,3.841572,2.8,
2017,PB,2501609,Barra de Santa Rosa,estadual,medio,todos (1-4),79.6,0.80121201,256.29,252.66,4.0717182,3.3,
2017,PB,2508703,Mãe d'Água,publica,medio,todos (1-4),86.3,0.87620801,259.95,256.44,4.1795602,3.7,
2017,PB,2517100,Várzea,publica,medio,todos (1-4),81.1,0.81170899,280.72,258.77,4.5061631,3.7,
2019,PB,2515971,Sobrado,publica,medio,todos (1-4),62.8,0.65440798,268.61,270.95,4.5185542,3.0,3.1
2019,PB,2516409,Tacima,estadual,medio,todos (1-4),75.4,0.76992297,248.92,249.19,3.916111,3.0,2.6
2019,PB,2504504,Condado,publica,medio,todos (1-4),96.3,0.966223,284.33,283.07,4.9207778,4.8,4.2
2019,PB,2514107,São João do Tigre,publica,medio,todos (1-4),92.1,0.92592299,252.39,250.11,3.9787691,3.7,3.4
2019,PB,2503753,Cajazeirinhas,publica,medio,todos (1-4),94.4,0.94579899,273.14,273.14,4.6149621,4.4,4.1
2019,PB,2513208,Santa Cruz,publica,medio,todos (1-4),58.9,0.57256401,307.57,295.98,5.4403062,3.1,3.6
2019,PB,2500205,Aguiar,publica,medio,todos (1-4),79.5,0.79940099,271.79,265.7,4.484334,3.6,3.3
2019,PB,2502052,Bernardino Batista,estadual,medio,todos (1-4),97.4,0.97515702,284.19,279.73,4.8685222,4.7,3.0
2021,PB,2502805,Brejo do Cruz,estadual,medio,todos (1-4),98.2,0.983268,248.26,254.04,3.979306,3.9,
2021,PB,2504009,Campina Grande,estadual,medio,todos (1-4),96.5,0.974254,262.41,274.46,4.483731,4.4,
